ROLL,RBC Bearings Incorporated - Common Stock,NASDAQ
37.53,38.39,38.76,37.29
38.28,38.70,39.25,38.27
38.60,38.60,38.77,38.26
39.00,39.16,39.46,38.80
38.49,39.04,39.16,38.49
38.46,38.30,38.64,37.97
38.11,38.84,39.14,38.11
39.01,39.53,39.83,39.01
39.80,38.65,39.80,38.51
38.82,39.21,39.43,38.29
39.09,38.75,39.11,38.67
39.15,39.25,39.77,38.56
39.22,38.95,39.22,38.37
39.16,40.04,40.07,38.43
40.11,40.09,40.53,39.96
39.66,40.16,40.57,39.65
40.16,40.17,40.33,39.93
39.95,38.12,39.95,37.87
38.23,37.95,38.80,37.84
37.53,37.97,38.35,37.28
38.38,38.13,38.38,37.32
37.75,36.02,38.44,36.02
36.04,36.16,36.35,35.05
35.58,34.65,37.27,34.41
35.11,32.53,35.85,32.15
31.42,29.39,32.23,29.39
30.72,34.82,34.90,30.27
33.63,32.20,34.53,31.83
32.35,33.77,34.44,32.33
34.06,34.11,34.97,33.73
34.45,35.11,35.18,34.01
34.62,34.50,34.70,33.80
34.66,34.15,34.75,33.86
32.98,31.98,33.46,31.65
31.11,30.89,32.67,30.31
31.98,31.09,31.98,30.51
31.17,34.15,34.56,30.63
33.97,34.58,35.14,33.03
34.98,33.00,34.98,33.00
32.67,34.05,34.43,32.27
34.50,35.05,35.48,33.91
34.86,35.75,36.07,34.72
36.06,34.95,36.34,34.13
34.95,33.98,35.78,33.81
32.97,32.28,33.96,32.08
30.81,31.60,32.08,30.78
32.28,32.65,32.71,31.99
32.34,31.84,32.92,31.49
31.37,31.27,31.84,30.90
30.57,31.71,31.80,30.37
31.88,32.37,32.54,31.27
32.81,33.97,34.56,32.21
34.74,34.67,35.04,33.86
34.93,34.78,35.20,34.70
33.98,34.48,35.00,32.85
35.01,35.13,36.31,34.73
35.13,33.44,35.60,33.36
32.15,32.50,33.25,31.92
32.62,33.08,33.80,32.12
33.38,33.94,33.99,32.84
35.01,35.76,36.52,33.94
35.73,33.34,36.38,33.21
34.24,34.28,35.12,33.07
33.48,33.99,35.26,33.48
33.59,32.33,34.51,32.33
32.02,35.98,35.99,32.00
35.98,37.29,37.50,35.38
37.28,37.66,37.85,36.77
37.84,36.32,37.84,36.07
37.13,38.22,38.25,36.87
37.74,38.24,38.47,37.74
38.57,39.28,39.53,38.38
39.07,39.18,39.66,38.40
39.58,39.40,39.79,39.00
39.01,36.89,39.01,36.70
37.14,38.64,38.99,36.47
38.45,38.10,39.01,37.90
38.03,38.08,38.16,36.83
38.90,39.34,39.42,38.27
39.47,40.31,40.61,39.47
39.81,39.37,40.26,39.22
40.16,40.36,40.43,38.55
42.19,41.72,42.37,40.88
41.55,41.56,42.36,41.26
40.78,40.50,41.70,40.34
38.58,38.59,41.13,38.12
39.32,40.00,40.12,38.76
40.60,41.83,41.96,39.60
41.19,41.57,41.89,40.38
41.31,40.85,41.44,39.78
41.35,41.93,42.08,39.92
40.46,39.17,41.22,39.08
39.95,39.18,39.95,38.51
39.85,40.22,40.58,39.82
40.10,40.15,40.36,39.62
39.99,41.33,41.47,39.53
40.88,40.43,42.06,40.36
40.49,39.68,41.22,39.38
39.67,39.73,40.53,39.62
38.86,38.90,39.28,38.45
38.90,38.25,39.34,38.01
37.89,37.21,37.96,36.69
36.93,37.00,37.31,36.84
38.41,39.68,40.17,38.41
39.59,38.92,39.86,38.67
40.88,42.25,42.73,40.48
41.94,41.04,42.51,40.98
41.85,42.23,42.90,41.82
43.18,42.27,43.18,41.65
42.43,42.98,44.01,42.16
42.60,42.50,43.02,41.69
42.01,41.83,42.81,41.82
42.09,43.09,43.62,42.09
42.35,41.87,42.35,40.98
42.33,40.86,43.00,40.61
40.40,39.67,41.06,39.64
40.42,40.40,40.77,39.85
40.87,40.72,41.62,40.35
41.01,39.91,41.11,39.72
40.78,41.61,42.08,40.78
41.48,41.90,42.22,41.01
42.00,42.78,43.44,42.00
42.82,43.45,43.63,42.61
43.31,42.77,43.45,42.37
42.77,41.19,43.09,41.06
41.24,42.35,42.81,41.24
42.40,41.70,42.78,41.66
42.96,42.59,43.84,42.07
42.20,41.94,42.65,41.54
41.76,42.64,42.77,41.09
42.43,42.36,43.02,42.12
42.09,42.19,42.40,41.66
42.99,44.01,44.10,42.75
43.63,43.83,44.00,43.60
44.00,44.22,44.23,43.62
43.50,43.84,44.01,43.16
44.32,43.71,44.97,43.18
43.43,43.93,44.28,43.43
44.26,44.45,44.53,44.00
44.33,44.46,44.77,43.73
44.31,44.12,44.81,43.78
43.68,44.23,44.40,43.63
44.22,44.62,44.99,43.78
44.99,44.91,44.99,44.31
44.62,45.48,45.70,44.62
44.94,45.44,45.74,44.57
45.78,45.28,45.78,44.15
45.69,45.89,46.16,45.24
45.89,45.68,46.12,45.49
46.69,47.33,47.47,46.00
47.01,46.99,47.12,46.65
47.04,46.89,47.09,46.44
47.20,46.30,47.53,45.63
46.75,46.64,47.52,46.14
45.98,45.88,46.49,45.45
46.53,46.29,46.83,45.97
46.09,46.16,46.44,45.55
46.47,45.76,46.82,45.28
45.66,47.72,47.74,45.66
48.03,47.33,48.03,46.78
47.37,47.51,47.94,46.85
47.26,47.03,47.42,46.94
47.05,47.26,47.62,46.46
47.37,46.97,47.40,46.93
46.49,47.01,47.40,46.05
46.85,46.64,47.18,46.04
46.78,45.51,47.42,45.49
46.08,46.00,47.11,45.97
46.20,44.63,46.21,44.27
44.56,45.15,45.32,44.01
44.43,44.41,45.37,44.01
44.75,44.50,44.75,44.25
45.00,44.94,45.14,44.00
45.06,46.41,46.76,44.58
46.44,45.50,46.75,45.38
46.05,46.72,46.90,45.30
46.50,46.29,47.02,46.14
46.46,47.24,47.24,46.00
47.42,46.96,47.75,46.83
46.91,46.99,48.05,46.84
46.55,45.60,46.55,45.46
45.76,45.43,46.13,45.03
45.00,45.13,45.47,43.94
45.30,45.52,45.84,44.84
46.31,46.50,47.41,46.20
46.69,46.82,47.10,46.33
47.10,46.69,47.25,46.02
46.28,46.45,46.60,45.75
46.85,46.13,47.02,46.06
46.09,47.46,47.60,46.05
47.49,47.21,47.49,46.65
46.47,45.64,46.75,45.36
45.78,45.47,46.08,45.47
44.68,44.51,45.27,44.05
44.44,43.34,44.63,43.11
43.96,44.32,44.60,43.50
44.32,44.99,45.16,44.32
44.64,44.59,44.82,44.46
44.93,44.68,45.12,44.48
45.08,45.18,45.84,44.81
44.99,44.79,45.18,44.28
44.74,43.81,45.00,43.51
44.63,44.48,45.11,43.78
43.76,44.04,44.21,43.13
44.04,44.99,45.12,43.72
45.81,46.42,46.53,44.93
46.17,47.24,47.30,45.86
47.17,47.98,48.02,46.89
47.84,46.88,47.84,46.74
47.02,46.98,47.84,46.74
46.75,47.03,47.08,46.23
46.85,46.61,47.14,46.39
46.49,45.02,46.49,44.88
44.74,45.18,45.63,44.51
44.68,45.57,45.63,44.40
44.82,44.68,45.00,44.41
45.16,45.49,45.57,44.67
45.08,45.27,45.68,44.68
44.56,45.07,45.32,44.56
44.90,45.19,45.73,44.90
45.48,45.35,46.05,45.19
45.38,44.12,45.60,44.02
44.05,44.00,44.71,43.77
44.08,44.80,45.27,43.91
44.80,44.89,45.22,44.39
44.23,45.41,45.58,43.86
45.57,45.52,45.68,44.39
45.41,44.93,45.85,44.75
45.26,45.98,46.46,45.07
47.00,46.50,49.47,46.40
47.46,46.40,47.46,45.42
45.28,44.75,45.53,44.05
44.86,44.60,45.58,44.15
44.44,44.41,44.72,43.82
44.67,45.34,45.70,44.45
46.09,45.43,46.35,45.29
45.28,46.11,46.22,44.93
46.64,45.76,46.64,45.76
46.21,47.49,47.61,44.60
47.29,46.05,47.38,45.78
46.14,46.45,46.93,45.84
46.41,46.66,46.79,46.09
46.35,46.72,46.98,45.83
46.86,47.09,47.94,46.53
46.93,46.06,46.93,45.93
46.10,45.67,46.10,45.35
45.95,45.35,45.99,45.03
44.54,44.13,45.05,43.83
44.28,45.34,45.54,44.19
45.34,45.83,46.15,45.34
45.27,45.85,45.98,45.01
47.02,47.30,47.53,46.52
47.58,47.68,47.78,46.54
47.78,48.47,48.59,47.05
48.52,48.45,48.89,47.93
47.82,47.49,47.82,47.02
47.26,47.33,47.40,46.86
47.56,46.49,48.06,46.41
46.64,46.78,47.08,46.20
46.50,47.10,47.42,45.79
47.18,48.39,48.53,47.05
48.35,47.69,48.35,47.51
48.09,48.00,48.69,47.30
47.96,48.97,49.23,47.41
49.13,49.24,49.76,48.67
48.58,49.07,49.17,48.00
48.02,48.22,48.69,47.86
48.23,46.94,48.23,46.74
47.43,46.63,47.54,46.32
47.38,46.10,47.38,45.67
46.44,47.00,47.17,46.22
47.15,46.87,47.15,46.02
46.62,46.84,47.14,46.58
47.00,45.82,47.34,45.71
45.56,45.80,46.19,45.11
47.02,46.22,47.86,45.01
46.42,45.50,46.44,45.22
45.90,45.90,46.19,45.46
45.71,45.89,46.07,45.62
45.90,46.15,46.29,45.44
46.15,45.80,46.15,45.28
45.81,45.71,45.89,45.25
46.11,45.65,46.14,45.37
45.47,45.62,45.90,45.18
45.74,46.35,46.52,45.22
46.17,46.84,46.96,45.90
46.77,46.43,46.77,46.06
46.59,46.37,46.97,46.08
46.23,46.26,46.38,45.58
46.22,45.91,46.30,45.54
45.57,46.16,46.72,45.57
46.45,45.98,46.66,45.72
45.96,45.96,46.34,45.63
46.12,46.42,46.74,45.64
46.15,45.64,46.46,45.64
46.17,45.99,46.17,45.25
45.85,46.30,46.77,45.09
46.09,45.88,46.70,45.68
46.25,46.96,46.98,46.09
47.00,46.98,47.00,46.65
47.00,47.09,47.17,46.82
47.11,47.45,47.51,46.93
47.68,47.54,47.69,47.13
47.52,48.33,48.72,47.15
48.65,49.17,50.58,48.64
49.01,48.94,49.33,48.27
48.72,50.04,50.09,48.72
50.02,49.78,50.42,49.44
49.42,49.19,50.11,48.96
49.79,49.62,50.05,49.31
49.54,49.57,50.08,48.88
49.83,49.27,50.76,49.01
49.52,48.90,49.52,48.71
48.84,48.85,49.30,48.59
48.40,48.10,48.68,48.10
48.50,47.96,48.61,47.55
48.31,47.67,48.31,47.48
47.61,47.56,48.19,47.20
47.67,47.76,47.98,47.23
48.11,47.87,48.50,47.66
47.55,47.81,48.28,47.32
47.77,47.05,47.84,46.73
47.12,47.32,47.34,46.83
47.50,47.54,48.12,47.35
47.44,47.26,47.74,47.12
47.33,47.72,47.85,46.89
47.94,48.53,48.83,47.85
48.74,48.87,48.88,48.30
48.71,48.61,49.02,48.42
48.10,48.00,48.60,47.78
48.02,48.10,48.23,47.53
47.72,47.67,47.82,47.21
48.06,47.79,48.06,47.45
48.10,48.07,48.22,47.63
48.13,48.47,48.71,47.45
48.65,49.66,49.67,48.54
49.76,49.58,50.39,46.37
49.65,47.91,49.65,46.88
47.76,48.13,49.51,47.73
48.17,48.07,49.52,47.58
47.61,46.50,48.05,46.34
46.43,45.66,46.58,45.57
45.29,46.07,46.43,45.26
46.12,46.18,46.58,45.77
45.81,45.50,46.37,45.41
45.62,44.30,45.62,43.91
44.44,43.83,44.68,43.34
43.69,43.61,44.73,42.86
43.95,44.81,45.05,43.90
44.58,44.89,45.47,42.14
44.96,45.06,45.09,44.79
45.42,45.49,45.73,45.17
45.33,45.07,45.66,44.76
45.11,45.55,45.60,45.06
45.48,46.05,46.08,44.68
46.55,46.81,47.36,46.22
47.02,46.59,47.06,46.40
47.00,46.69,47.49,46.30
46.83,46.73,47.24,46.17
46.82,47.24,47.49,46.57
47.11,47.37,47.90,47.11
47.73,47.66,47.99,47.30
47.86,48.21,48.36,47.34
48.50,48.45,48.79,48.14
48.69,48.13,48.86,47.98
48.05,47.91,48.54,47.75
47.47,47.81,48.97,47.47
48.17,49.13,49.18,47.75
49.14,49.62,49.69,48.45
49.55,49.32,50.16,49.11
49.27,49.64,49.94,49.01
49.21,49.91,50.31,48.80
49.90,49.64,49.94,49.31
49.64,49.36,50.15,49.08
49.49,50.12,50.26,48.91
49.75,49.46,50.00,48.97
49.36,50.07,50.30,49.25
51.35,51.22,51.50,50.51
51.15,51.79,51.88,51.15
52.10,51.87,52.42,51.65
51.68,52.00,52.65,51.50
52.11,51.92,52.16,51.32
52.26,51.99,52.47,51.68
52.33,52.00,52.33,51.58
52.06,51.85,52.06,51.44
51.85,51.81,51.96,51.55
51.37,52.76,52.88,51.20
52.57,52.93,53.05,52.13
51.87,51.58,51.90,50.43
51.64,52.08,52.54,51.19
51.94,52.16,52.79,51.56
52.23,52.54,52.92,52.19
52.70,53.19,53.21,52.39
53.55,53.93,54.19,53.27
54.12,52.79,54.40,52.58
52.92,53.01,53.44,52.72
52.82,51.97,52.96,51.88
52.05,52.73,53.45,51.69
52.83,53.49,54.18,52.46
53.31,52.29,53.49,52.20
52.71,53.71,54.03,52.06
53.53,53.71,54.27,52.87
49.03,49.96,53.00,49.03
49.95,49.94,50.03,49.09
50.07,49.82,50.27,49.70
49.82,49.55,49.84,49.36
49.65,49.84,50.05,49.40
49.80,49.67,50.16,49.49
50.00,49.43,50.00,49.32
49.37,49.68,49.81,49.12
49.65,49.89,51.31,49.65
50.02,49.49,50.17,49.24
50.36,50.66,50.74,50.00
51.00,49.94,51.05,49.94
50.28,49.47,50.41,49.46
49.53,49.69,50.07,49.34
49.77,49.84,50.65,49.41
49.36,49.79,49.92,48.46
49.69,49.21,49.71,48.72
49.53,49.63,49.96,48.77
49.64,50.18,50.28,49.56
50.07,49.97,50.21,49.42
50.49,50.71,50.77,49.81
50.41,50.79,50.99,50.25
50.63,49.99,50.91,49.62
50.08,50.32,50.63,49.60
50.57,51.12,51.22,50.53
51.23,50.71,51.43,50.43
50.12,50.73,51.48,50.12
50.95,51.27,51.58,50.72
51.71,51.29,51.95,50.87
50.83,50.52,51.32,50.42
50.56,50.79,50.95,50.15
51.03,51.20,51.28,50.23
51.64,50.76,51.64,50.46
50.55,50.63,50.92,50.29
50.79,50.56,50.87,50.02
50.39,50.47,51.03,49.52
50.80,48.88,50.80,48.76
49.09,49.18,49.83,48.51
49.19,49.65,49.74,48.86
48.76,49.26,50.24,48.76
49.50,49.57,49.64,49.00
49.58,49.46,49.83,49.28
49.74,50.49,50.65,49.49
50.58,49.87,50.58,49.66
49.55,49.84,50.13,49.22
49.67,48.93,49.74,48.87
49.35,49.05,49.75,48.83
48.52,48.34,49.07,48.18
48.28,48.40,48.85,48.21
48.40,48.42,48.92,48.19
48.46,48.65,48.95,47.77
49.15,47.98,49.15,47.84
48.00,48.84,48.98,47.91
49.14,49.06,49.53,48.92
49.01,48.39,49.01,48.23
48.62,48.49,48.67,48.00
48.42,48.10,48.42,47.89
48.06,46.09,48.06,46.03
46.20,46.46,47.05,46.20
46.94,46.96,47.68,46.84
47.06,47.01,47.41,46.67
47.22,46.75,47.45,46.63
46.61,47.13,47.24,46.54
47.20,47.48,48.06,47.11
47.41,48.34,48.54,47.09
48.41,48.22,48.68,47.86
48.51,48.67,49.34,48.50
48.44,48.80,49.10,48.41
48.55,48.51,49.02,48.29
48.89,48.78,49.25,48.65
48.72,47.34,48.91,47.11
47.49,47.54,47.75,47.33
47.66,47.06,48.17,46.58
46.78,46.97,47.13,46.68
46.82,47.15,47.16,46.60
47.85,47.52,48.38,47.16
48.82,47.74,48.82,47.00
48.00,48.06,48.29,47.07
47.90,48.96,49.16,47.85
49.25,49.84,49.98,48.93
49.93,49.85,50.51,49.39
49.73,49.33,49.84,49.30
49.43,49.49,49.84,49.00
49.98,49.63,50.00,49.45
50.00,50.12,50.22,49.70
50.70,50.81,51.40,50.38
51.34,50.41,51.34,50.12
50.28,51.90,52.00,49.94
51.80,51.08,52.03,50.70
51.59,51.79,51.86,51.03
51.99,52.76,52.95,51.88
52.82,52.98,53.39,52.65
