NM,Navios Maritime Holdings Inc. Common Stock,NASDAQ
1.70,1.63,1.70,1.62
1.68,1.64,1.69,1.58
1.65,1.63,1.65,1.58
1.64,1.61,1.69,1.60
1.60,1.60,1.65,1.56
1.60,1.43,1.62,1.40
1.43,1.44,1.50,1.35
1.47,1.36,1.47,1.32
1.33,1.25,1.36,1.18
1.25,1.20,1.25,1.19
1.23,1.16,1.23,1.14
1.20,1.39,1.41,1.15
1.48,1.27,1.49,1.25
1.26,1.22,1.34,1.22
1.24,1.24,1.28,1.22
1.28,1.24,1.28,1.20
1.36,1.51,1.54,1.34
1.56,1.54,1.60,1.39
1.52,1.61,1.61,1.51
1.61,1.41,1.68,1.40
1.40,1.40,1.49,1.36
1.37,1.41,1.47,1.37
1.48,1.51,1.52,1.40
1.53,1.58,1.65,1.53
1.59,1.64,1.68,1.58
1.66,1.62,1.66,1.57
1.61,1.58,1.63,1.55
1.57,1.59,1.60,1.52
1.58,1.65,1.68,1.56
1.64,1.60,1.68,1.59
1.59,1.71,1.75,1.58
