ACUR,Acura Pharmaceuticals,NASDAQ
30.45,29.80,30.45,29.80
30.40,29.30,31.50,28.90
30.30,39.50,45.00,30.26
42.50,31.15,45.65,30.15
32.15,29.50,36.00,28.25
nan,29.50,nan,nan
17.00,20.10,21.00,16.80
20.75,19.65,20.75,18.95
19.55,18.75,19.55,18.25
18.55,17.95,18.60,17.30
17.95,18.35,18.70,17.35
18.35,18.40,19.14,18.30
18.35,19.25,19.35,18.15
19.25,18.95,19.25,18.60
19.00,18.40,19.00,17.95
18.35,17.75,18.76,16.90
17.65,17.85,19.50,16.90
18.30,17.60,18.30,17.25
17.35,17.80,17.95,17.26
17.80,18.40,18.45,17.80
18.25,18.35,18.50,18.15
18.05,17.95,18.20,17.68
17.80,17.70,18.20,17.50
17.75,18.65,18.65,17.00
18.40,17.55,18.50,17.15
17.05,17.70,17.95,17.05
17.70,17.95,19.25,17.70
17.90,17.60,18.10,17.50
17.35,16.55,17.85,16.00
16.60,16.65,17.40,16.20
16.90,16.95,17.00,16.05
17.00,16.80,17.00,16.30
16.70,16.15,16.70,16.10
16.15,16.00,16.85,15.80
15.90,15.80,16.00,15.55
15.50,14.95,15.60,14.95
14.90,14.05,14.90,14.05
14.05,14.10,14.65,13.75
14.25,13.30,14.40,13.10
13.50,13.75,14.25,13.05
13.65,13.45,13.65,13.35
13.45,15.00,15.00,13.30
15.15,15.00,15.50,14.15
16.10,15.85,16.10,15.60
16.25,15.40,16.25,15.20
15.90,14.95,15.90,14.40
15.45,14.85,15.55,14.65
14.90,14.90,15.20,14.75
14.90,15.15,15.20,13.80
14.75,14.40,14.95,14.20
14.40,16.00,16.25,12.75
15.75,14.55,15.90,14.30
14.30,13.55,14.30,13.30
13.60,12.55,14.30,12.50
12.65,13.40,14.75,12.60
13.40,13.30,13.75,12.75
13.40,12.50,13.40,12.50
13.05,13.10,13.20,12.75
13.65,13.60,13.80,13.00
13.55,13.05,13.55,12.70
13.05,12.25,13.50,12.25
12.45,13.00,13.10,12.26
12.95,12.80,13.15,12.50
12.80,12.50,13.10,12.25
12.45,11.40,12.45,11.40
11.40,11.50,11.75,11.10
11.60,12.25,12.25,11.60
12.65,11.85,12.65,11.60
12.00,12.65,12.70,11.60
12.55,12.65,12.65,11.65
12.85,12.95,12.95,12.30
13.05,13.85,14.50,13.00
13.85,14.15,14.40,13.55
14.20,13.35,14.25,12.90
13.15,14.05,14.05,12.75
14.15,13.55,14.30,13.40
13.55,12.85,13.70,12.50
13.00,13.60,13.65,13.00
13.80,13.50,13.95,13.45
13.35,12.95,13.50,12.70
13.05,13.60,13.75,12.95
13.55,12.85,13.55,12.80
12.65,12.45,12.85,12.25
12.35,12.25,12.95,12.25
12.30,12.10,12.50,12.10
12.05,12.10,12.35,12.05
12.15,12.35,12.45,12.15
12.25,12.25,12.50,12.15
12.15,12.10,12.70,12.05
12.05,12.20,12.25,11.45
12.20,12.10,12.30,11.95
11.90,12.25,12.45,11.90
12.15,12.30,12.35,12.00
12.35,11.80,12.35,11.80
11.90,12.50,12.60,11.85
12.05,12.25,12.85,11.95
12.30,12.20,12.35,12.10
12.35,12.75,12.75,11.86
12.60,11.95,12.90,11.80
12.40,12.50,12.60,11.80
12.45,12.00,12.45,11.95
12.05,12.25,12.25,11.85
12.40,12.35,12.45,12.05
12.35,11.90,12.45,11.80
12.00,12.80,12.80,11.95
12.70,12.40,12.70,12.00
12.45,12.35,12.45,12.00
12.50,12.15,12.50,11.95
12.20,12.10,12.35,11.95
12.15,12.30,12.50,12.00
12.25,12.25,12.35,12.00
12.20,12.05,12.20,11.85
11.95,12.05,12.10,11.90
12.20,12.30,12.30,12.15
12.30,12.00,12.30,11.25
11.85,12.30,12.40,11.85
12.25,12.30,12.30,12.00
12.40,12.45,12.45,12.10
12.45,12.25,12.45,12.20
12.25,12.05,12.40,11.15
12.10,12.15,12.25,11.80
11.00,11.35,11.80,11.00
11.40,11.75,11.90,11.30
11.35,11.45,11.55,11.30
11.30,11.35,11.75,11.26
11.30,12.75,12.80,11.30
12.75,13.55,13.55,12.75
13.50,13.25,13.55,13.10
13.45,13.25,13.45,12.90
13.25,13.70,13.70,13.00
13.75,13.85,13.95,13.55
13.95,14.05,14.25,13.75
14.15,13.05,14.15,13.05
13.05,12.60,13.10,12.50
12.65,13.00,13.20,12.50
12.95,12.70,13.60,12.45
12.95,12.80,13.20,12.50
12.95,13.10,13.25,12.75
12.95,13.10,13.20,12.75
13.05,13.00,13.10,12.75
13.10,13.35,13.35,12.95
13.20,13.25,13.45,12.75
13.40,13.25,13.40,13.00
13.00,13.00,13.20,12.55
12.85,14.20,14.20,12.85
14.20,13.80,14.25,13.75
13.80,13.80,13.90,13.55
13.65,13.65,13.75,13.55
13.50,13.60,13.85,13.50
13.75,14.10,14.10,13.75
14.05,14.10,14.20,14.05
13.80,14.10,14.25,13.70
14.10,14.05,14.10,13.50
13.95,13.90,14.05,13.55
13.75,13.10,13.75,13.00
13.00,13.00,13.00,12.60
13.00,13.25,13.40,13.00
13.00,13.05,13.25,13.00
12.95,13.25,13.30,12.58
13.00,13.20,13.30,12.75
13.45,13.35,13.45,13.20
13.30,13.10,13.30,12.90
13.00,13.05,13.20,12.80
13.10,13.25,13.25,12.95
13.25,13.15,13.25,12.90
13.25,13.15,13.25,12.95
13.30,13.40,13.40,13.05
13.40,14.05,14.10,13.22
14.00,14.45,14.60,13.95
14.55,14.80,15.25,14.55
14.65,15.00,15.23,14.65
15.05,15.10,15.10,14.85
14.05,14.25,15.10,14.05
14.40,14.70,14.90,14.35
14.70,18.75,19.90,14.60
19.70,16.30,19.75,16.25
16.35,16.45,16.85,15.75
18.15,17.50,18.15,16.95
17.50,16.90,17.75,16.90
17.25,16.35,17.25,16.25
16.30,16.50,16.86,16.25
16.50,16.55,16.80,16.35
16.80,17.30,17.85,16.75
17.30,17.80,18.05,17.10
18.00,17.90,18.05,17.55
17.95,17.75,18.00,17.55
17.90,17.40,17.90,17.35
17.35,17.15,17.40,17.00
17.25,17.40,18.10,17.10
17.50,17.55,17.80,17.50
17.85,17.30,17.85,17.30
17.35,17.25,17.40,17.10
17.15,17.25,17.25,17.10
17.20,16.95,17.20,16.85
16.95,16.10,16.95,16.00
16.10,15.55,16.55,15.40
15.45,15.15,15.50,15.10
15.15,14.60,15.40,14.55
14.60,14.95,15.30,14.60
15.00,15.30,15.85,15.00
15.35,14.85,15.80,14.75
14.80,14.85,15.20,14.80
14.90,15.00,15.24,14.88
14.90,15.05,15.25,14.90
15.85,16.60,16.60,15.25
16.60,16.80,17.25,16.60
16.80,16.65,16.90,16.50
16.65,16.35,16.70,15.90
16.20,16.15,16.55,15.95
16.00,15.80,16.10,15.75
15.80,16.35,16.50,15.80
17.20,15.80,17.50,15.40
15.70,16.05,16.05,15.15
16.05,17.15,17.15,16.05
17.15,17.10,17.20,16.25
17.00,17.05,17.10,16.35
17.05,16.15,17.05,16.05
16.25,15.80,16.30,15.80
15.85,16.00,16.20,15.50
16.00,16.35,16.50,15.75
16.50,16.45,16.80,16.35
16.60,16.05,16.80,15.75
16.20,16.00,16.30,15.75
16.20,16.30,16.50,15.80
16.40,16.30,16.45,16.05
16.05,15.60,16.10,15.55
15.65,16.05,16.15,15.65
15.75,15.95,16.05,15.60
15.90,15.35,15.90,15.20
15.40,15.65,15.70,15.10
15.45,16.05,16.15,15.40
15.80,15.30,16.00,15.30
15.20,14.75,15.55,14.60
15.05,14.95,15.50,14.65
15.15,15.15,15.50,14.95
15.40,15.00,15.60,14.55
15.15,14.90,15.20,14.55
14.90,15.05,15.25,14.70
15.10,15.40,15.40,14.90
15.50,15.70,15.90,15.50
15.75,15.40,15.90,15.40
15.50,15.70,15.85,15.45
15.75,15.60,15.80,15.45
15.65,15.80,15.85,15.40
15.90,16.75,16.85,15.80
16.90,19.50,20.20,16.60
19.55,20.10,20.75,18.50
20.15,20.60,20.75,20.05
20.75,21.70,21.75,20.55
21.80,21.35,21.80,20.25
21.30,20.60,21.55,20.50
20.35,21.35,21.45,20.35
21.60,20.60,21.60,20.35
20.55,21.45,21.75,20.50
21.25,20.95,21.25,20.70
20.95,21.70,21.70,20.60
21.70,23.60,24.15,21.06
24.35,24.10,24.95,23.00
24.25,23.45,24.25,23.25
23.50,23.80,24.00,23.00
23.95,23.50,23.95,23.16
23.50,23.45,23.70,23.00
23.50,23.05,23.50,22.80
23.05,23.45,23.60,21.10
23.40,22.65,24.15,22.50
22.65,22.75,24.10,22.65
22.85,22.70,23.20,21.70
22.70,21.95,23.00,21.90
22.30,21.60,22.30,20.95
21.70,22.00,22.65,21.10
22.15,22.40,22.60,21.90
22.25,21.80,22.58,21.75
22.00,22.15,22.26,21.75
22.20,21.45,22.20,21.30
21.50,21.05,21.50,20.85
21.05,21.65,22.15,20.75
21.80,22.10,22.55,21.80
22.60,22.78,22.95,22.50
22.65,23.40,23.45,22.35
23.40,23.15,23.45,22.85
22.95,22.85,23.00,22.25
22.85,22.95,23.10,22.55
22.80,22.65,22.85,22.55
22.75,24.45,24.75,22.30
24.85,26.40,26.40,24.80
26.45,25.40,26.45,25.00
25.60,25.65,26.15,25.00
25.20,25.70,25.95,25.00
26.85,25.70,27.25,25.00
25.75,23.75,25.81,23.55
23.60,20.75,23.60,20.50
20.90,19.50,20.95,19.05
19.50,19.10,19.95,18.75
19.15,18.65,19.75,18.55
18.85,18.95,19.90,18.05
18.90,18.15,19.05,17.70
18.15,20.30,20.55,17.80
20.35,19.35,22.45,18.10
32.20,22.50,34.00,22.30
22.55,20.40,22.75,19.30
20.25,19.55,20.60,19.40
19.45,18.65,19.55,18.50
22.05,20.50,22.05,19.30
21.20,20.10,21.35,19.35
20.05,19.25,20.30,19.10
19.65,19.05,19.65,18.50
19.45,19.35,20.00,18.50
20.50,19.40,20.50,18.75
19.30,19.05,19.50,18.65
19.05,18.65,19.15,18.55
18.85,19.40,19.45,18.25
19.05,20.35,20.45,19.05
20.15,19.65,20.15,19.35
19.70,18.75,19.70,18.75
18.95,19.20,19.50,18.75
19.10,18.40,19.25,18.40
18.50,18.25,18.50,18.05
18.15,17.05,18.15,16.85
17.05,17.25,17.55,16.95
17.25,16.75,17.25,16.45
16.75,16.25,16.75,15.25
16.10,16.15,16.35,15.35
15.85,15.85,16.05,15.40
15.95,15.80,15.95,15.40
15.50,15.05,15.80,15.00
15.00,15.15,15.30,14.75
14.50,15.20,15.60,14.50
15.60,15.00,15.74,14.50
14.95,15.25,15.30,14.25
15.25,16.65,16.75,14.25
16.50,15.95,16.65,15.40
16.15,14.90,16.68,14.30
14.15,12.75,14.25,11.40
13.05,14.75,14.75,12.65
14.30,13.05,14.45,12.95
13.20,13.35,13.65,12.55
13.45,12.85,13.55,12.35
13.05,16.20,16.25,13.05
16.10,15.55,16.18,15.25
15.80,16.30,16.75,15.30
15.80,15.05,15.80,14.85
14.85,15.85,16.25,14.20
16.40,15.25,16.40,15.05
15.35,15.35,15.75,14.75
15.40,15.80,15.80,14.75
16.10,15.65,16.10,15.50
15.55,15.55,16.20,15.10
15.75,15.55,16.20,15.25
15.40,15.75,15.95,15.00
16.20,15.40,16.20,15.05
15.70,14.75,15.70,14.70
14.55,14.15,15.20,13.90
13.75,14.75,14.90,13.75
14.95,14.80,15.35,14.60
14.70,14.95,15.50,14.70
14.95,14.15,14.95,14.00
13.90,15.30,16.20,13.90
15.65,14.90,15.75,14.40
15.10,15.45,15.65,14.85
15.60,16.15,16.25,15.35
16.10,15.65,16.35,15.50
15.50,15.40,15.60,15.00
15.40,15.10,15.50,15.10
15.10,14.65,15.25,14.65
14.25,13.65,14.70,13.45
13.75,14.35,14.90,13.75
14.55,14.75,14.85,13.75
15.55,14.90,15.80,14.55
15.35,14.65,15.50,14.45
15.00,14.80,15.50,14.40
14.70,17.00,18.85,14.70
17.50,18.35,20.25,17.50
18.50,19.25,19.40,18.40
19.50,18.80,19.50,17.50
18.80,19.20,19.35,18.30
19.70,18.65,19.70,18.35
19.50,19.35,19.70,18.95
19.20,19.90,20.20,18.65
20.25,21.85,24.05,20.25
23.95,21.85,23.95,21.50
21.55,22.60,23.05,21.55
22.45,23.60,23.95,22.15
23.80,25.00,26.25,23.05
26.05,26.10,26.40,25.00
23.35,26.25,26.95,21.86
27.45,24.60,27.45,23.56
25.05,23.70,25.20,23.35
23.60,22.95,23.60,20.80
23.20,22.65,23.20,21.65
23.15,23.90,24.05,22.70
23.85,23.10,24.00,22.75
22.95,22.20,23.14,21.95
21.50,20.75,21.75,20.55
20.85,19.95,21.45,19.90
20.25,20.95,21.25,19.10
20.80,20.20,20.80,19.90
20.20,19.30,20.25,18.80
19.30,20.35,20.60,19.06
19.85,20.10,21.00,19.45
20.40,19.80,20.45,19.50
20.15,20.50,20.65,19.90
20.50,20.30,20.80,20.00
20.35,20.90,21.00,20.30
20.75,19.90,20.75,19.75
19.90,18.95,20.05,18.80
19.05,17.35,19.35,17.25
17.10,16.85,17.40,15.65
16.95,16.15,16.95,16.15
16.00,15.45,16.00,15.10
15.30,14.90,15.35,14.85
15.35,16.00,16.60,15.30
16.20,16.50,17.05,15.80
17.15,18.50,18.55,17.15
18.30,17.90,19.25,17.30
17.95,17.85,18.30,17.55
18.15,18.75,18.75,18.15
18.90,19.60,19.60,18.85
19.75,20.25,21.20,19.25
20.55,18.40,20.65,18.35
18.50,19.50,20.40,18.25
19.25,18.75,19.25,18.55
18.85,17.90,19.24,17.90
17.75,19.45,19.50,16.30
19.40,18.60,19.40,18.05
18.85,19.05,19.05,18.55
19.10,17.10,19.10,17.00
17.55,18.65,18.71,17.55
18.65,18.45,18.65,18.00
18.40,18.10,18.85,17.60
18.60,18.25,18.60,17.55
17.65,18.30,18.55,17.20
18.25,17.50,18.25,17.50
17.60,17.55,17.84,17.30
17.70,17.45,18.05,17.30
17.60,17.40,17.75,17.35
17.45,17.55,17.85,17.45
17.45,17.20,17.50,16.85
17.25,17.05,17.40,17.00
16.85,17.15,17.20,16.85
17.40,17.75,18.00,17.06
17.80,17.70,17.80,17.39
17.80,18.30,18.54,16.80
18.10,17.95,18.10,17.05
18.35,17.90,18.35,17.05
18.45,18.50,18.85,17.80
18.65,20.60,21.10,18.65
20.65,19.80,20.75,19.56
19.35,18.60,19.35,18.40
19.85,20.10,20.45,19.25
20.20,19.30,20.20,19.00
19.45,17.15,19.45,17.00
17.10,16.55,17.25,16.20
16.35,16.20,17.00,15.85
16.40,16.55,16.72,16.25
16.70,16.30,16.70,15.90
16.20,16.35,16.55,15.85
16.30,17.15,17.25,16.10
16.95,17.05,17.75,16.40
17.00,16.55,17.05,16.48
16.30,16.15,16.49,16.00
16.25,16.20,16.55,16.00
16.25,16.20,16.90,16.20
16.70,17.50,17.85,16.70
17.45,17.20,17.80,17.10
17.35,17.05,17.45,16.80
17.00,16.60,17.45,16.30
16.65,16.40,16.80,16.25
16.50,16.65,17.25,16.30
16.60,16.85,17.35,16.60
17.00,17.45,17.45,17.00
17.40,17.35,17.45,17.20
17.30,17.10,17.45,17.00
17.10,16.70,17.20,16.45
16.75,16.20,16.90,16.20
16.35,15.95,16.60,15.60
17.35,16.90,17.80,16.45
16.85,16.85,17.25,16.45
16.45,16.30,16.45,15.76
16.40,16.60,16.70,16.00
16.70,16.65,17.25,16.05
16.70,16.10,16.70,15.95
16.25,16.45,16.75,16.15
16.75,16.90,17.10,16.25
17.10,16.90,17.25,16.80
17.05,17.20,17.25,16.60
17.35,17.45,17.70,17.25
17.45,19.40,19.95,17.40
19.85,20.70,21.01,19.50
20.70,19.65,21.15,19.50
19.65,19.50,20.15,19.00
19.55,18.70,19.85,18.15
19.15,18.85,19.55,18.80
19.15,18.35,19.20,18.35
19.50,18.30,19.50,18.00
18.25,17.85,18.45,17.60
18.05,17.30,18.20,17.15
17.30,17.25,17.80,17.05
17.20,17.00,17.25,16.75
16.80,16.75,17.00,16.45
16.75,16.90,17.05,16.50
16.90,16.70,16.90,16.00
16.90,16.00,16.90,16.00
16.25,16.50,16.63,16.00
16.40,16.80,17.20,16.40
16.75,16.50,16.75,16.20
16.55,16.85,17.00,16.25
16.95,17.15,17.55,16.90
17.00,16.55,17.00,16.30
16.50,16.10,16.95,15.85
16.40,16.25,16.60,16.25
16.25,16.05,16.60,16.00
16.10,16.40,16.46,16.00
16.40,16.20,16.55,16.10
16.30,16.25,16.30,16.00
16.45,16.30,16.50,16.10
16.30,16.15,16.45,16.15
16.30,16.00,16.50,16.00
16.05,15.70,16.20,14.96
15.75,15.35,15.80,15.15
15.30,14.65,15.30,14.55
14.65,15.00,15.35,13.42
14.80,14.70,15.05,14.30
14.50,14.50,15.00,14.50
14.50,14.10,14.80,13.85
13.95,14.05,14.56,13.90
14.05,13.00,14.15,13.00
13.00,13.10,13.50,12.55
13.10,13.60,14.40,13.10
13.70,13.10,13.70,12.76
13.05,13.20,13.30,12.65
13.25,13.60,13.60,12.75
13.55,14.40,14.50,13.40
14.10,14.40,14.55,13.75
14.35,13.85,14.35,13.35
13.95,15.25,15.25,13.85
15.20,14.90,15.30,14.50
14.75,14.65,15.15,14.65
14.65,14.10,14.70,14.00
13.85,13.35,14.20,13.35
13.35,13.40,13.80,13.05
13.25,13.85,14.40,12.50
14.00,14.15,14.80,13.75
14.40,14.15,14.40,13.70
14.15,13.80,14.15,13.45
13.85,14.15,14.45,13.85
14.25,14.35,14.50,13.85
14.20,14.40,14.50,14.20
14.45,14.85,14.85,13.85
14.85,15.15,15.30,14.70
15.00,15.55,15.60,14.50
15.40,15.35,16.00,14.75
15.40,16.05,16.07,15.35
16.00,15.75,16.15,15.40
15.90,15.00,16.20,14.75
15.10,15.30,15.55,15.00
15.40,15.45,15.70,15.00
15.30,14.95,15.45,14.75
14.90,14.75,15.45,14.55
15.15,15.70,15.72,15.05
15.55,16.10,16.25,15.10
16.15,16.25,16.25,15.65
16.15,16.15,16.25,16.00
16.30,15.70,16.30,15.56
15.60,15.55,16.00,14.90
15.90,15.05,16.10,15.00
15.05,15.45,15.65,15.05
15.45,15.95,15.95,15.30
16.00,16.15,16.15,15.15
16.15,15.55,16.15,15.26
15.75,15.30,15.75,15.00
15.05,15.55,15.62,15.05
15.45,15.25,15.90,15.20
15.30,15.55,15.80,15.00
15.50,15.30,15.55,15.25
15.35,14.45,15.65,14.25
14.10,14.90,15.70,14.10
15.05,15.05,15.10,14.85
15.05,15.40,15.60,14.65
10.00,9.80,11.00,9.50
10.00,9.30,10.25,9.25
9.30,7.85,9.30,7.75
7.90,8.35,8.95,7.90
8.35,8.25,8.70,7.80
8.25,8.00,8.25,7.95
8.05,8.15,8.25,8.00
8.20,8.00,8.20,7.95
8.00,7.70,8.00,7.50
7.85,7.40,7.90,7.35
7.40,7.30,7.45,7.00
7.35,7.40,7.45,7.15
7.45,7.20,7.45,7.00
7.15,7.50,7.50,7.00
7.45,8.00,8.00,7.45
8.25,9.10,9.24,8.25
9.25,8.80,9.40,8.35
8.80,8.90,8.95,8.25
9.00,8.60,9.00,8.50
8.55,8.45,8.65,8.00
8.45,8.25,8.55,8.15
8.40,8.05,8.45,7.95
8.05,7.85,8.10,7.75
7.85,7.85,8.00,7.85
8.00,8.15,8.25,8.00
8.00,8.40,8.60,8.00
8.35,8.50,8.65,8.25
8.60,8.40,8.60,8.10
8.55,8.45,8.55,8.05
8.35,8.65,8.65,8.35
8.70,8.80,9.00,8.70
8.95,9.15,9.20,8.81
9.24,9.60,9.75,9.24
9.55,9.35,9.70,9.25
9.35,9.05,9.35,8.70
9.20,9.40,9.50,9.10
9.55,9.10,10.00,8.75
9.10,9.00,9.40,8.85
9.20,9.15,9.35,9.00
9.35,9.20,9.35,9.00
9.15,8.70,9.35,8.60
8.80,8.95,9.15,8.55
8.90,9.00,9.26,8.80
8.90,8.70,8.90,8.65
8.80,8.70,9.05,8.50
8.80,8.55,8.80,8.00
8.55,8.85,8.90,8.15
9.00,9.20,9.20,8.61
9.20,8.90,9.20,8.85
8.80,8.50,8.85,8.50
8.35,8.05,8.45,8.00
8.20,7.70,8.25,7.65
7.70,7.95,9.00,7.50
8.20,7.70,8.20,7.70
8.25,7.95,8.60,7.35
8.05,7.90,8.45,7.45
8.40,8.15,8.40,7.90
8.15,8.05,8.40,8.00
8.10,7.65,8.15,7.65
7.55,7.40,7.75,7.15
7.50,7.55,7.60,7.15
7.60,7.50,7.60,7.10
7.55,7.40,7.60,7.30
7.25,7.15,7.25,6.90
7.30,7.55,7.55,6.90
7.55,7.75,7.80,6.85
7.65,6.80,7.65,6.60
6.85,6.95,7.05,6.65
7.00,7.25,7.65,6.85
7.45,7.25,7.65,6.95
7.25,6.90,7.25,6.50
6.90,6.55,6.96,6.40
6.45,6.25,6.90,6.25
6.25,6.05,6.35,6.00
6.10,5.50,6.10,5.50
5.40,5.60,5.90,5.40
5.60,5.90,6.10,5.50
5.85,5.90,6.10,5.50
5.80,5.50,5.84,5.30
6.25,5.55,6.25,5.45
5.65,5.90,6.05,5.65
5.95,6.00,6.25,5.60
6.20,6.45,6.50,5.85
6.50,7.10,7.20,6.50
7.35,9.75,13.00,7.35
10.20,9.15,10.30,8.75
9.75,8.80,9.75,8.50
8.60,8.30,9.10,8.05
8.35,7.70,8.70,7.50
8.00,7.50,8.00,7.25
7.55,7.15,7.55,6.92
7.25,12.25,12.90,7.25
12.45,17.45,22.50,12.40
17.00,14.80,17.00,14.10
14.75,13.10,14.85,13.00
13.15,13.05,13.55,12.45
13.10,13.80,16.10,12.79
13.80,12.85,13.85,12.55
12.85,12.15,13.05,12.10
11.80,11.90,13.35,11.46
12.00,11.55,12.00,11.00
11.60,10.90,11.80,10.70
11.30,11.90,12.20,10.60
11.60,11.10,12.15,10.90
11.10,11.35,11.60,11.00
11.50,11.10,11.50,10.82
11.40,11.60,11.75,11.20
11.35,12.70,13.35,11.25
12.70,13.15,13.85,12.25
13.15,11.90,13.20,11.90
12.20,11.70,12.20,11.25
11.70,11.75,12.00,11.50
11.90,11.35,11.90,11.25
11.35,11.70,12.20,11.25
11.75,11.65,11.95,11.45
11.65,11.90,12.15,11.30
11.90,11.50,11.90,11.35
11.55,11.25,11.95,11.20
11.25,10.90,11.40,10.75
10.90,10.40,10.90,10.15
10.45,10.60,10.80,10.45
10.45,10.40,11.00,10.15
10.40,9.90,10.49,9.55
9.90,9.45,10.25,9.35
9.35,9.70,9.75,9.35
9.70,9.50,9.70,9.30
9.55,9.35,9.55,9.05
9.40,9.60,9.74,9.35
9.55,9.20,9.65,9.15
9.30,9.35,9.45,9.20
9.45,11.75,12.70,9.30
12.20,11.20,12.80,10.60
11.20,10.95,11.20,10.30
11.00,10.80,11.38,10.50
11.00,10.10,11.00,9.82
10.10,10.30,10.60,10.10
10.75,10.45,11.00,10.20
10.70,10.35,10.70,9.95
10.50,10.45,10.50,10.05
10.50,10.15,10.60,10.05
10.25,10.30,10.50,10.20
10.40,10.40,10.50,10.15
10.45,9.85,10.45,9.35
9.85,10.00,10.20,9.85
10.05,10.30,10.45,10.00
10.25,10.30,10.90,10.25
10.25,10.20,10.50,9.99
10.10,10.25,10.30,9.75
11.50,15.20,18.10,11.45
14.50,13.35,14.95,12.80
12.45,12.20,12.90,11.55
12.45,13.05,13.45,12.00
13.00,13.25,13.95,12.65
13.05,12.40,13.15,12.30
13.50,12.60,13.50,12.30
12.70,12.55,12.95,12.30
12.65,11.75,12.65,11.55
11.65,11.60,12.15,11.60
11.60,11.40,11.70,11.15
11.40,11.85,12.00,11.25
11.70,11.10,11.95,11.00
11.05,11.00,11.15,10.70
10.90,10.70,11.15,10.65
10.85,10.80,11.00,10.50
10.75,10.45,10.85,10.40
10.45,10.65,11.35,10.45
10.70,11.05,11.05,10.55
10.95,10.60,11.10,10.46
10.55,10.10,10.55,10.00
10.20,10.30,10.40,10.00
11.25,10.45,11.70,10.40
11.00,10.80,11.25,10.55
10.90,10.60,11.35,10.55
10.75,10.90,10.95,10.60
10.90,11.45,11.75,10.82
11.50,11.00,11.75,10.85
10.85,10.30,10.92,10.30
10.55,10.75,10.94,10.40
14.35,14.40,18.90,13.65
13.50,13.20,14.35,12.50
13.80,14.35,14.75,13.25
14.35,14.15,16.40,13.90
14.40,13.15,14.40,12.96
13.15,12.95,13.25,12.65
13.00,13.30,13.70,12.80
13.30,12.70,13.30,12.55
12.90,12.70,13.25,12.55
12.75,12.25,13.00,12.20
12.20,11.90,12.50,11.65
12.55,12.20,12.70,11.95
11.75,11.25,11.90,10.60
11.15,10.80,11.15,10.35
10.90,10.85,11.35,10.75
10.75,10.80,11.20,10.55
10.75,10.90,11.05,10.65
10.75,10.80,11.10,10.70
10.70,11.30,11.60,10.60
12.45,11.45,12.80,11.45
11.50,11.40,11.70,11.15
11.15,10.95,11.40,10.80
11.00,11.75,12.25,11.00
11.90,12.00,12.40,11.70
12.15,11.50,12.15,11.20
11.65,11.70,11.80,11.25
11.35,11.80,11.95,11.25
12.10,11.85,12.10,11.50
12.15,11.70,12.15,11.60
11.60,11.45,11.75,11.30
11.45,11.30,11.50,11.25
11.25,11.30,11.55,11.25
11.25,11.15,11.45,10.80
11.20,11.15,11.25,10.90
11.05,10.95,11.35,10.90
11.00,10.70,11.00,10.50
10.70,11.05,11.05,10.70
11.00,11.00,11.25,10.90
10.75,10.90,11.10,10.65
10.75,10.80,11.05,10.70
10.85,10.80,10.85,10.65
10.75,10.70,11.00,10.70
10.90,10.70,11.00,10.60
10.90,10.65,10.90,10.60
10.60,10.20,10.80,10.10
10.20,10.10,10.25,10.05
